# Design Points of Design of Experiments
# Central Composite Design : Face-Centered : Enhanced
# ,P1 - DS_Bar_length@Extrude1@Trohanterna_sipka.Part,P2 - DS_Bar_diameter@Sketch1@Trohanterna_sipka.Part,P3 - DS_Bar_end_thickness@Sketch2@Trohanterna_sipka.Part,P4 - DS_Radius_trochanteric_unit@Fillet1@Trohanterna_sipka.Part,P5 - DS_Radius_bar_end@Sketch2@Trohanterna_sipka.Part,P6 - DS_clamp_distance@Distance3@Sklop_Femur-Fiksator.Assembly,P7 - Total Deformation Maximum (mm) ,P8 - Equivalent Stress - Fiksator Maximum (MPa) ,P9 - Total Mass (kg) ,P10 - Upper Femur Mass (kg) ,P11 - Lower Femur Mass (kg) ,P12 - Fixator Mass (kg) 
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
25,175,9,5.25,6.5,8,21.25,8.8521295866857184,262.13677544148362,0.79744084477862376,0.16287785294589333,0.38184628988535757,0.2491669019473729
26,100,8,4,3,6,1,10.807450346961129,531.42989690251272,0.75009236129943813,0.16286678347134484,0.38184015255593795,0.20183562527215532
27,137.5,8.5,4.625,4.75,7,7.75,9.78407961461547,372.81977875387759,0.77161712757764045,0.16287329944427772,0.3818866112352487,0.223307416898114
28,250,8,4,3,6,28,8.3438771215799985,303.42705003612366,0.80897555845392644,0.16288267713965854,0.38152556510701585,0.26101751620725205
29,212.5,8.5,4.625,4.75,7,21.25,8.4935557546892415,287.309513089446,0.80486754612745282,0.16288027476175684,0.38172119772765928,0.25671627363803673
30,100,10,4,3,6,28,10.574912637202196,456.52437680834862,0.76583488375541209,0.16287321119587453,0.38181790785806452,0.21759396470147307
31,137.5,9.5,4.625,4.75,7,21.25,9.55311807200368,353.99970936235439,0.78387368867866369,0.16287594135202069,0.3818681775435403,0.23557976978310274
32,250,10,4,3,6,1,7.0662278065930781,324.888007515328,0.85794669686435021,0.16288296185707418,0.38145212098776149,0.31006181401951455
33,212.5,9.5,4.625,4.75,7,7.75,7.9688869856731452,286.89475104544812,0.82545244408335683,0.16288069699527905,0.3817121164749197,0.27730983061315806
34,100,8,6.5,3,6,28,10.685427286654237,328.78644424907924,0.7534086753887782,0.1628667968589686,0.3818271433687111,0.20516493516109846
35,137.5,8.5,5.875,4.75,7,21.25,9.72851196341641,293.51132501510858,0.77350364758464185,0.16287329904099412,0.38187293919947635,0.22520760934417139
36,250,8,6.5,3,6,1,8.242569092353035,183.37456803050631,0.81226187319089926,0.16288267718086322,0.38148240229234492,0.2643469937176911
37,212.5,8.5,5.875,4.75,7,7.75,8.436072076277588,211.79992148619183,0.80676670896928149,0.16288027468494831,0.38171366420708819,0.25862297007724494
38,100,10,6.5,3,6,1,10.402704276054461,342.46399225354583,0.77089017452728292,0.16287322575761504,0.38182897498010515,0.22263817378956269
39,137.5,9.5,5.875,4.75,7,7.75,9.4919550167192739,246.02311165152449,0.78616916651304791,0.16287594168713712,0.38188066554924971,0.23786275927666106
40,250,10,6.5,3,6,28,6.9232681531162488,187.19563769901603,0.86311000338508737,0.16288296216130249,0.38156948293790849,0.31510775828587639
41,212.5,9.5,5.875,4.75,7,21.25,7.9012298272614236,191.66108323964229,0.82773976899525969,0.16288069723251361,0.38171975042730188,0.27958952133544418
42,100,8,4,10,6,28,10.801797519432396,548.94815112197944,0.750239013697777,0.16286679685896857,0.38182714290248976,0.20199527393631872
43,137.5,8.5,4.625,8.25,7,21.25,9.7837794157811864,376.98903748748495,0.77167723550547951,0.1628732990409941,0.38187293924292676,0.22338119722155864
44,250,8,4,10,6,1,8.3073944486438673,290.65406424522536,0.80904823984063312,0.16288267718086322,0.381443869523496,0.26117189313627387
45,212.5,8.5,4.625,8.25,7,7.75,8.4814351171263684,289.44129432635634,0.80493108458787055,0.16288027468494831,0.38171366478592478,0.25678734511699752
46,100,10,4,10,6,1,10.57975350621042,578.32043655022392,0.76597392275325549,0.16287322575761504,0.38182897490919004,0.21772192208645047
47,137.5,9.5,4.625,8.25,7,7.75,9.5632556732693743,351.86271213191691,0.78395494592185144,0.16287594168713707,0.3818806654211247,0.23564853881358971
48,250,10,4,10,6,28,7.0380615357499856,304.43307216259359,0.85815235450949179,0.16288296216130246,0.381531361456197,0.31018823089199232
49,212.5,9.5,4.625,8.25,7,21.25,7.9582601995626652,276.13207152996472,0.825529132528612,0.16288069723251358,0.3817197501745685,0.27737888512152992
50,100,8,6.5,10,6,1,10.683884836247341,314.81033549198457,0.75358114508349461,0.16286679685896771,0.38184008633825722,0.20532446188626974
51,137.5,8.5,5.875,8.25,7,7.75,9.7262231196934756,269.21112956266887,0.773591021699469,0.1628732993385863,0.3818866102470645,0.22528131211381824
52,250,8,6.5,10,6,28,8.272397805890904,195.84727507019406,0.81249725147632523,0.16288268866068917,0.38156408642674722,0.2645006763888888
53,212.5,8.5,5.875,8.25,7,21.25,8.446857035832684,216.91827115769206,0.80684515884680841,0.16288027465163171,0.38172112019276844,0.25869396400240829
54,100,10,6.5,10,6,28,10.407046619345659,293.56641820805322,0.7710070379436984,0.16287321119587381,0.38181790658179021,0.22276612016603436
55,137.5,9.5,5.875,8.25,7,21.25,9.4844737862029067,252.17308156034034,0.78622548957934,0.16287594168713723,0.38186817681647373,0.23793157107572904
56,250,10,6.5,10,6,1,6.9262436768073421,184.3076106466871,0.863156748701546,0.16288256694576614,0.38149020919644155,0.31523417255933828
57,212.5,9.5,5.875,8.25,7,7.75,7.9029663459002988,195.43288302461613,0.8278012320352256,0.16288069722585707,0.38171211619697071,0.27965861861239782
58,100,8,4,3,10,28,10.794821818198091,546.60429342387613,0.75028032403119749,0.16286679685896788,0.38182714361712755,0.20203658355510207
59,137.5,8.5,4.625,4.75,9,21.25,9.7837453647681567,383.47409572445787,0.77170115029282538,0.16287329797135003,0.38187293962040153,0.22340511270107388
60,250,8,4,3,10,1,8.3091449221196036,298.220388854117,0.80909525861227971,0.16288267719482125,0.38144386847659251,0.26121891294086591
61,212.5,8.5,4.625,4.75,9,7.75,8.4810577661156241,274.81938861599042,0.80495793764504708,0.16288027465163116,0.3817136658969939,0.25681419709642206
62,100,10,4,3,10,1,10.558213588328597,475.74540631563275,0.7664019762081804,0.16287321255447285,0.38182897494193885,0.21814998871176872
63,137.5,9.5,4.625,4.75,9,7.75,9.5547485822365967,397.07150268389648,0.7840540602998175,0.16287594166603334,0.38188066592117054,0.23574765271261361
64,250,10,4,3,10,28,7.0304531085550765,299.8325270773779,0.85857485539133382,0.16288254081944264,0.38153142462855755,0.31061108994333364
65,212.5,9.5,4.625,4.75,9,21.25,7.9555017382482056,284.84306958513667,0.82562663128924429,0.16288069719498077,0.38171975020878079,0.27747638388548274
66,100,8,6.5,3,10,1,10.686232677513843,314.7927784677658,0.75344976221254378,0.16286678358049275,0.38184008594877,0.205193092683281
67,137.5,8.5,5.875,4.75,9,7.75,9.72689374779772,269.35606626447748,0.77356173173643117,0.16287329826341543,0.38188661109721272,0.225252022375803
68,250,8,6.5,3,10,28,8.2759623752574,195.768323759165,0.81237250279367346,0.16288268992017477,0.38156408652584595,0.26437592634765278
69,212.5,8.5,5.875,4.75,9,21.25,8.4493563028200374,214.08662262941513,0.80681871320359366,0.16288027472844033,0.38172119771907742,0.25866744075607589
70,100,10,6.5,3,10,28,10.404872295815359,314.49137060105528,0.77105698437287562,0.16287322588448139,0.38181790739331883,0.22281605109507541
71,137.5,9.5,5.875,4.75,9,21.25,9.4878511553709775,251.49802109108381,0.78624441146578572,0.16287594166603342,0.38186817655478605,0.23795049324496631
72,250,10,6.5,3,10,1,6.9255772318153435,183.7040039101222,0.86320349696605625,0.16288296310600786,0.38149023990990993,0.31528049395013852
73,212.5,9.5,5.875,4.75,9,7.75,7.9038423452131088,196.11916529165595,0.82781650375255855,0.16288069711031314,0.38171211620741985,0.27967389043482555
74,100,8,4,10,10,1,10.798220436413303,537.54192724589871,0.75045293104138289,0.16286678358049275,0.38184008579626028,0.20219626166462984
75,137.5,8.5,4.625,8.25,9,7.75,9.7825795186570481,378.61534300993731,0.77178860289639217,0.1628732982634154,0.38188661109721178,0.22347889353576494
76,250,8,4,10,10,28,8.3366281345107982,309.4757852518382,0.8093306422423715,0.16288268992017477,0.38152555457595577,0.261372597746241
77,212.5,8.5,4.625,8.25,9,21.25,8.4922047109170844,277.09162246342447,0.80503654162908367,0.16288027472844036,0.38172119771907781,0.25688526918156551
78,100,10,4,10,10,28,10.557652121204239,467.97968253069763,0.76651891778491132,0.16287322588448136,0.38181790710770519,0.21827798479272476
79,137.5,9.5,4.625,8.25,9,21.25,9.5513886900482543,382.536998771446,0.78411035856859379,0.16287594166603342,0.381868176386625,0.23581644051593531
80,250,10,4,10,10,1,7.05250757585724,319.57182575199494,0.85862239271727181,0.16288296310600786,0.38145211365941828,0.31073751595184573
81,212.5,9.5,4.625,8.25,9,7.75,7.963855745919453,295.51658633490672,0.82568807176393177,0.16288069711031311,0.38171211748692896,0.27754545716668977
82,100,8,6.5,10,10,28,10.68257387307224,328.36631792769356,0.75359642802806548,0.16286679685896735,0.381827077199378,0.20535275396972019
83,137.5,8.5,5.875,8.25,9,21.25,9.7313380403122185,279.861075782664,0.77362176263202531,0.1628732990409944,0.38187293827754676,0.22532572531348422
84,250,8,6.5,10,10,1,8.2380641903755834,183.9425982807102,0.81244447654445451,0.16288267723066074,0.38148240498385594,0.26452959432993783
85,212.5,8.5,5.875,8.25,9,7.75,8.4321620872393037,211.2596001511638,0.806882175401804,0.16288027477263015,0.38171366568496429,0.25873843494420956
86,100,10,6.5,10,10,1,10.396821579841282,377.15604990131555,0.77119601162950335,0.16287321119587395,0.38182897483556066,0.22294402559806875
87,137.5,9.5,5.875,8.25,9,7.75,9.4863971154135331,260.25823010976688,0.786325737547235,0.1628759413877556,0.38188066522820308,0.23801933093127631
88,250,10,6.5,10,10,28,6.91763436328948,190.57140384300286,0.86340920830958812,0.16288296316202935,0.3815695302835142,0.3154069148640446
89,212.5,9.5,5.875,8.25,9,21.25,7.8994382865592261,192.03381329968332,0.82789326088049708,0.16288069703321789,0.38171975024825683,0.27974301359902243
